,label,area,aspect_ratio,perimeter_skimage,major_axis_length,minor_axis_length,circularity,solidity,eccentricity,roundness_skimage,perimeter_on_border,perimeter_on_border_ratio,filename
31,6,1071,3.860132219609547,167.05382386916236,73.53527809333718,19.04993764715533,0.4822658307904779,0.9045608108108107,0.965861637079518,0.2521785313586707,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
32,7,2292,2.2607574841330056,323.3919189857866,94.63083856971517,41.85802291217709,0.2754014043179223,0.6998473282442748,0.8968525557905094,0.3258812359207803,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
33,8,295,2.349898532397049,81.49747468305831,31.51029049373544,13.409213231684898,0.5581405507483334,0.855072463768116,0.9049347774180798,0.3782921425283611,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
34,9,116,2.7206919166806487,63.66295090390226,26.500856284281948,9.74048407385061,0.3596618078362213,0.6105263157894737,0.9300023550689752,0.2103043684981771,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
35,10,152,1.6133353017881231,49.698484809834994,18.109463097416064,11.224860125074205,0.7733340904092778,0.8837209302325582,0.7847329920941248,0.5901230212045996,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
36,11,59,1.1989807214041697,30.17766952966369,9.8017156408822,8.175040237013198,0.8141238523572782,0.8428571428571429,0.5517013052136933,0.7819120972804312,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
37,12,547,1.6128674406803285,155.4386001800126,37.7958028025104,23.433917660689858,0.2844981438754095,0.7206851119894598,0.7845909394310131,0.4875400484326961,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
38,13,629,3.4946265791160687,152.12489168102783,55.388846005712864,15.849718060498162,0.3415544480133178,0.7941919191919192,0.9581837575959996,0.2610454513492128,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
39,14,437,2.007128292626507,113.9827560572969,35.80574762447573,17.839291965547805,0.4226812599595922,0.7734513274336283,0.8670482056249311,0.4339963361301921,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
40,15,123,2.760248556931527,56.21320343559643,22.519066689242944,8.158347418638492,0.489145773104244,0.7592592592592593,0.9320668961964786,0.3088264263595518,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
41,16,63,1.9088592863535725,32.3492424049175,12.653780681830302,6.628975101670474,0.7565230850841328,0.9130434782608696,0.8517963327898094,0.5009680884480401,2.0,0.0579795333161662,img03_20220429_ET358_56hpf_3.tif
42,17,65,1.6696626726651191,30.72792206135785,12.133401643163449,7.266977840377833,0.8650811231956068,0.9027777777777778,0.8008063392906951,0.5621579118519802,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
