,Unnamed: 0,label,aspect_ratio,max_intensity,min_intensity,perimeter_skimage,area,mean_intensity,major_axis_length,minor_axis_length,circularity,solidity,eccentricity,roundness_skimage,median,sum,variance,perimeter_on_border,perimeter_on_border_ratio,filename,annotated_class,predicted_class
50,50,25,1.398917394465517,2.4444444444444446,0.4444444444444444,38.97056274847714,106,1.0859538784067084,13.872300514183262,9.916454373264433,0.8770863958467844,0.9217391304347826,0.6992895902719328,0.701324494373125,1.0652669668197632,115.11111111111116,0.1560630261888112,0.0,0.0,img03_20220429_ET358_56hpf_3.tif,0.0,2
52,52,27,3.8881523158422073,3.4722222222222223,0.2777777777777778,152.75230867899737,957,1.6681179612214094,69.96686391535192,17.994887605167417,0.5154021621633171,0.9264278799612778,0.9663604379960378,0.248907074252046,1.6463216543197632,1596.3888888888898,0.4109485475665363,0.0,0.0,img03_20220429_ET358_56hpf_3.tif,2.0,2
55,55,2,2.48100755443145,4.217391304347826,0.1739130434782608,180.7106781186548,1748,1.6897821112327132,74.9422329494526,30.206370317411803,0.6726415040676632,0.9546695794647734,0.9151726508756652,0.396276472936208,1.65922212600708,2953.739130434779,0.3675630135590575,0.0,0.0,img05_20220513_ET358_56hpf_1.tif,2.0,2
68,68,15,2.6512179440926213,3.130434782608696,0.1304347826086956,149.68124086713192,1071,1.1977428652620468,61.31266425825482,23.126225588081205,0.6007096175325546,0.9099405267629568,0.9261378803453776,0.3627431441712814,1.1823199391365051,1282.782608695651,0.1696823023092386,0.0,0.0,img05_20220513_ET358_56hpf_1.tif,2.0,2
76,76,4,1.5518053309908608,1.7540983606557377,0.3934426229508196,74.18376618407358,321,0.9763035595730556,25.92848492173071,16.708593793252934,0.732988465517899,0.9067796610169492,0.7646795513012992,0.6079402115099767,0.9715996384620668,313.39344262295066,0.0638145793722767,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,0.0,2
79,79,7,1.250285895648442,2.9672131147540983,0.3934426229508196,62.90559159102153,270,1.266909532483303,20.85985352722213,16.68406690007767,0.8574229942655996,0.9246575342465754,0.600243831069535,0.7900441717978832,1.1348937153816223,342.0655737704916,0.2810778645139846,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,0.0,2
85,85,13,1.7114180129058072,2.622950819672131,0.4262295081967213,55.38477631085024,208,1.2813682219419924,21.445298463177583,12.53071914719755,0.8521035741452083,0.9369369369369368,0.8115299799127744,0.5758498576914372,1.2818583846092224,266.5245901639344,0.1720986155190379,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
87,87,15,2.40235979060009,2.377049180327869,0.3770491803278688,189.82337649086287,1884,1.1816939890710385,76.39026546948422,31.79801200818573,0.6570393408940199,0.9524772497472194,0.9092468261757796,0.4110692385453418,1.183881938457489,2226.311475409834,0.0918208501084962,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
93,93,21,2.0740920793817352,1.836065573770492,0.4590163934426229,54.8700576850888,177,1.0378808928406038,22.045394597989123,10.628937267124911,0.7387751807634411,0.921875,0.8760949156997017,0.4637112489471249,1.0042584538459778,183.7049180327868,0.0825503738067128,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,1.0,2
98,98,26,1.3158797685345232,1.9344262295081969,0.5081967213114754,52.52691193458118,169,1.0582985740614996,17.486827675857054,13.289077082879608,0.7697201042578087,0.8802083333333334,0.6499840508696759,0.7036792789197559,1.036917269229889,178.8524590163934,0.0980658616736606,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,0.0,2
