,Unnamed: 0,label,aspect_ratio,perimeter_skimage,major_axis_length,minor_axis_length,circularity,solidity,eccentricity,roundness_skimage,perimeter_on_border,perimeter_on_border_ratio,max_intensity,mean_intensity,min_intensity,median,sum,variance,filename,annotated_class,predicted_class
128,128,11,1.097233221531115,155.82337649086284,48.67769503587746,44.36403681612104,0.8575652039078596,0.9729888432178508,0.4115586683280889,0.8903743001585837,0.0,0.0,4.112903225806452,2.487472501800767,0.3225806451612903,2.707125663757324,4121.741935483869,0.8212848464525743,img10_20220513_ET358_56hpf_6.tif,2.0,2
129,129,12,1.0839063921574743,199.23759005323595,55.9223398460278,51.59332969216697,0.6917015445717412,0.9333618111917984,0.3857845666754197,0.8895920458598895,0.0,0.0,2.161290322580645,1.0404665239536428,0.3387096774193548,1.0362588167190552,2273.419354838711,0.0700570981621781,img10_20220513_ET358_56hpf_6.tif,2.0,2
137,137,6,1.1285792393561804,181.16652224137047,45.3598036435184,40.191952910098514,0.5360212469732336,0.9216589861751152,0.4635518089028941,0.8663548730349786,0.0,0.0,3.8846153846153846,1.5954395604395606,0.1153846153846153,1.6282302141189575,2233.6153846153843,0.3539188147312092,img12_20220513_ET358_56hpf_8.tif,2.0,2
138,138,7,2.810733089893131,239.4386001800126,102.67020605511854,36.52791025384137,0.6303915978596965,0.9602671118530884,0.9345700907636644,0.347384257140039,0.0,0.0,8.23076923076923,4.158486680218251,0.1538461538461538,4.654822826385498,11959.807692307688,3.5557721292364497,img12_20220513_ET358_56hpf_8.tif,2.0,2
143,143,1,1.193840194725632,26.48528137423857,9.32685579380254,7.812482637968172,0.9852884032416418,0.9166666666666666,0.5462333553418754,0.805011869914872,8.0,0.287861544422366,4.833333333333333,1.3727272727272728,0.0,1.3447265625,75.5,0.8332959221848105,img13_20220513_ET358_56hpf_9.tif,0.0,2
146,146,4,1.1817348762797026,25.72792206135786,8.865860749364957,7.502411012253575,0.9682123483556624,0.9107142857142856,0.5328439927616282,0.8261111485334359,0.0,0.0,2.833333333333333,1.1666666666666667,0.0,1.1455078125,59.50000000000001,0.4977777777777769,img13_20220513_ET358_56hpf_9.tif,0.0,2
157,157,15,1.423201732601182,30.97056274847714,11.37986562157165,7.995961050983755,0.9170852543182518,0.8974358974358975,0.711544457583865,0.6882304619732988,0.0,0.0,2.833333333333333,1.2285714285714289,0.0,1.1455078125,86.00000000000001,0.425258799171842,img13_20220513_ET358_56hpf_9.tif,0.0,2
158,158,16,1.316681647988901,29.31370849898476,10.766841895611332,8.17725523254357,0.994436936676639,0.9315068493150684,0.6505247806740725,0.7468654334770979,0.0,0.0,3.0,1.1151960784313726,0.1666666666666666,1.0458984375,75.83333333333333,0.35427641205736,img13_20220513_ET358_56hpf_9.tif,0.0,2
161,161,19,1.3119365240472525,30.970562748477143,10.36723460319693,7.902237961341741,0.8253767288864265,0.9,0.6473039308318708,0.7463195449016407,0.0,0.0,2.833333333333333,1.1587301587301588,0.0,1.0458984375,72.99999999999997,0.4206349206349214,img13_20220513_ET358_56hpf_9.tif,0.0,2
164,164,22,1.4191470531546813,46.04163056034261,16.63992582414597,11.725300621353076,0.9010565759281012,0.9212121212121211,0.7095564352659185,0.6989577659246293,0.0,0.0,6.666666666666667,2.319078947368421,0.0,2.0419921875,352.5000000000003,2.634637262305865,img13_20220513_ET358_56hpf_9.tif,2.0,2
