,Unnamed: 0,label,area,max_intensity,mean_intensity,min_intensity,solidity,minor_axis_length,eccentricity,aspect_ratio,roundness_skimage,circularity,median,sum,variance,number_of_pixels_on_border,perimeter_on_border_ratio,filename
31,31,6,1071,2.833333333333333,1.3456271397447868,0.2777777777777778,0.9045608108108107,19.04993764715533,0.965861637079518,3.860132219609547,0.2521785313586707,0.4822658307904779,1.3419596552848816,1441.1666666666674,0.1934696394999657,0,0.0,img03_20220429_ET358_56hpf_3.tif
32,32,7,2292,7.083333333333333,2.347282819468683,0.1666666666666666,0.6998473282442748,41.85802291217709,0.8968525557905094,2.2607574841330056,0.3258812359207803,0.2754014043179223,1.8953450918197632,5379.972222222215,2.4762594199432386,0,0.0,img03_20220429_ET358_56hpf_3.tif
33,33,8,295,2.25,1.0203389830508474,0.3888888888888889,0.855072463768116,13.409213231684898,0.9049347774180798,2.349898532397049,0.3782921425283611,0.5581405507483334,1.0099284052848816,301.0000000000001,0.0919937958443458,0,0.0,img03_20220429_ET358_56hpf_3.tif
34,34,9,116,1.75,0.8383620689655173,0.3333333333333333,0.6105263157894737,9.74048407385061,0.9300023550689752,2.7206919166806487,0.2103043684981771,0.3596618078362213,0.7885742485523224,97.25000000000006,0.0593612337349836,0,0.0,img03_20220429_ET358_56hpf_3.tif
35,35,10,152,2.305555555555556,1.0718201754385963,0.3888888888888889,0.8837209302325582,11.224860125074205,0.7847329920941248,1.6133353017881231,0.5901230212045996,0.7733340904092778,1.0652669668197632,162.9166666666668,0.1247592600660943,0,0.0,img03_20220429_ET358_56hpf_3.tif
36,36,11,59,1.4444444444444444,0.8954802259887005,0.3888888888888889,0.8428571428571429,8.175040237013198,0.5517013052136933,1.1989807214041697,0.7819120972804312,0.8141238523572782,0.8715820610523224,52.83333333333333,0.0726197047427322,0,0.0,img03_20220429_ET358_56hpf_3.tif
37,37,12,547,2.25,0.9685659150924232,0.3055555555555556,0.7206851119894598,23.433917660689858,0.7845909394310131,1.6128674406803285,0.4875400484326961,0.2844981438754095,0.9269205927848816,529.8055555555557,0.1177425649673266,0,0.0,img03_20220429_ET358_56hpf_3.tif
38,38,13,629,2.25,0.9960695990107754,0.2777777777777778,0.7941919191919192,15.849718060498162,0.9581837575959996,3.4946265791160687,0.2610454513492128,0.3415544480133178,0.9545898735523224,626.527777777778,0.1017221128647058,0,0.0,img03_20220429_ET358_56hpf_3.tif
39,39,14,437,2.2777777777777777,1.0019069412662087,0.3888888888888889,0.7734513274336283,17.839291965547805,0.8670482056249311,2.007128292626507,0.4339963361301921,0.4226812599595922,0.9822591245174408,437.83333333333377,0.1025030094423056,0,0.0,img03_20220429_ET358_56hpf_3.tif
40,40,15,123,1.4722222222222223,0.892728093947606,0.2777777777777778,0.7592592592592593,8.158347418638492,0.9320668961964786,2.760248556931527,0.3088264263595518,0.489145773104244,0.8992513120174408,109.80555555555556,0.0508920917229813,0,0.0,img03_20220429_ET358_56hpf_3.tif
